,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon
85,SEN_CRUST,FLATLINE,,True,"HUGEGORILLA47
",GODSENT_CUBSKI,HUGEGORILLA47,,SENTINEL
86,YUBNTV,PROWLER,,True,"SENPEESH
",YUBNTV,PEESH,,KRABER
87,SEN_SENOXE,GSCOUT,,False,"V-SHINIV
",SENOXE,V-SHINI-V,,G7 SCOUT
88,SEN_CRUST,,BLEED OUT,False,"HUGEGORILLA47
",GODSENT_CUBSKI,HUGEGORILLA47,BLEED OUT,
89,GODSENT_CUBSI,R301,,True,"SEN_SENXOE
",GODSENT_CUBSKI,SENOXE,,R-301
90,GODSENT_CUBSKI,R301,,False,"SEN_PEEESH
",GODSENT_CUBSKI,SENOXE,,R-301
91,GENTRIFYINQ,R99,,False,"SEN_SENOXE
",GENTRIFYINQ,SENOXE,,R-99
92,YUBNTVDEVOTION,,,False,"SEN_CRUST
",YUBNTV,GODSENT_CUBSKI,,
93,GENTRFYINQ,R99,,True,"YUBNTV
",GENTRIFYINQ,YUBNTV,,R-99
94,DEZIGNFUL,GSCOUT,,True,"GODSENT_CUBSKI
",DEZIGNFUL,GODSENT_CUBSKI,,G7 SCOUT
