,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon
0,TLIQUIDCASPER,,MELEE DOWN,True,"TSM_ALBRALELIE
",TLIQUIDCASPER,TSM_ALBRALELIE,BLEED OUT,
1,LIQUIDNOCTURNAL,MELEE,,False,"TSM_ALBRALELLIE
",LIQUIDNOCTURNAL,TSM_ALBRALELIE,,PEACEKEEPER
2,SOLO_MASHDER,MASTIFF,,True,"BOWSWERR
",SOLO_MSHADE,BOWSWERR,,MASTIFF
3,CLG_NICEWIGG2,R99,,True,"SOLO_MSHADE
",NICEWIIG,SOLO_MSHADE,,R-99
4,SICKKS-FA,R99,,False,"SOLO_MSAHDE
",SICKKS-FA,SOLO_MSHADE,,R-99
5,E-BOY_RONNIE,FLATLINE,,True,"CLG_NICEWIGG2
",E-BOY_RONNIE,NICEWIIG,,SENTINEL
6,E-BOY_RONNIE,FLATLINE,,False,"CLG_NICEWIGG2
",E-BOY_RONNIE,NICEWIIG,,SENTINEL
7,WHAZGS,MASTIFF,,False,"BOWSWERR
",WHAZGS,BOWSWERR,,MASTIFF
8,MSG_NEOKOX,RE56,,True,"303
",NEOKOX,303-PHONYHEAD,,RE-45
9,MSG_WOLFX,EVA8,,False,"303_PHONYHEAD
",NRG_FREXS,303-PHONYHEAD,,EVA-8
10,V-SHINI-V,FLATLINE,,True,"MSG_EVZY
",V-SHINI-V,SF_PRIDE,,SENTINEL
11,HUGEGORILLA,SPITFIRE,,True,"MSG_NEOKOX
",HUGEGORILLA47,NEOKOX,,MASTIFF
12,V-SHINI-V-,LONGBOW,,False,"MSG_WOLFX
",V-SHINI-V,WOLFX,,LONGBOW
13,V-SHINI-V,,BLEED OUT,False,"MSG_EVZY
",V-SHINI-V,SF_PRIDE,BLEED OUT,
14,HUGEGORILLA,,BLEED OUT,False,"MSG_NEOKOX
",HUGEGORILLA47,NEOKOX,BLEED OUT,
15,WHAZGS,MASTIFF,,False,"SICKKS-FA
",WHAZGS,SICKKS-FA,,MASTIFF
16,96TEQ96,R99,,True,"COL_LOU
",96TEQ96,COL_LOU,,R-99
17,96TEQ,MASTIFF,,False,"COL_LOU
",96TEQ96,COL_LOU,,MASTIFF
18,COL_REPTAR,MASTIFF,,True,"PANDXRZ
",COL_REPTAR,PANDRXRZ,,MASTIFF
19,COL_MONSOON,R301,,False,"PANDXRZ
",COL_MONSOON,PANDRXRZ,,R-301
20,V-SHIVI-V,CHARGE-RIFLE,,True,"NRG_FREXS
",V-SHINI-V,NRG_FREXS,,CHARGE RIFLE
21,COL_REPTAR,MASTIFF,,True,"96TEQ96
",COL_REPTAR,96TEQ96,,MASTIFF
22,LIONFYD,MASTIFF,,True,"COL_MONSOON
",LIONFYD,COL_MONSOON,,MASTIFF
23,COL_REPTAR,MASTIFF,,False,"LIONFYD
",COL_REPTAR,LIONFYD,,MASTIFF
24,COL_REPTAR,,BLEED OUT,False,"96TEQ96
",COL_REPTAR,96TEQ96,BLEED OUT,
25,LIQUDFLANKER,CHARGE,,True,"MUFFINS_MCCARTHY
",LIQUIDFLANKER,MUFFSIN_MCCARTHY,,CHARGE RIFLE
26,SEN_CRUST,GSCOUT,,False,"MUFFINS_MCCARTHY
",GODSENT_CUBSKI,MUFFSIN_MCCARTHY,,G7 SCOUT
27,LIQUIDFLANKER,CHARGE,,True,"ISHINY_MCCARTHY
",LIQUIDFLANKER,ISHINY_MCCARTHY,,CHARGE RIFLE
28,SEN_CRUST,GSCOUT,,False,"PROTECTFUL
",GODSENT_CUBSKI,PROTECTFUL,,G7 SCOUT
29,LIQUIDFLANKER,,BLEED OUT,False,"ISHINY_MCCARTHY
",LIQUIDFLANKER,ISHINY_MCCARTHY,BLEED OUT,
30,KNOQD,EVA,,True,"SF_CLARIHI
",KNOQD,SF_CLARAPHI,,EVA-8
31,SF_PRIDE,MASTIFF,,True,"KNOQD
",SF_PRIDE,KNOQD,,MASTIFF
32,SF_PRIDE,MASTIFF,,True,"CLG_NOKOKOPUFFS
",SF_PRIDE,NOKOKOPUFFS,,MASTIFF
33,ZACH,EVA,,True,"PRIDE
",ZACHMAZER,SF_PRIDE,,EVA-8
34,SF_METRO,MASTIFF,,True,"ZACHMAZER
",SF_METRO,ZACHMAZER,,MASTIFF
35,SF,PRIDE,BLEED OUT,False,"KNOQD
",SF_METRO,KNOQD,BLEED OUT,TRIPLE TAKE
36,SF_PRIDE,,BLEED OUT,False,"CLG_NOKOKOPUFFS
",SF_PRIDE,NOKOKOPUFFS,BLEED OUT,
37,SEN_SENOXE,GSCOUT,,True,"V-SHINI-V
",SENOXE,V-SHINI-V,,G7 SCOUT
38,SF_PRIDE,MASTIFF,,True,"STOMPEZZ
",SF_PRIDE,STOMPEZZ,,MASTIFF
39,NORTY,YOYO,,True,"SF_CLARAPHI
",NORTH_YOYO,SF_CLARAPHI,,LONGBOW
40,SF_METRO,PROWLER,,False,"NORTH_YOYO
",SF_METRO,NORTH_YOYO,,KRABER
41,SF_PRIDE,,BLEED OUT,False,"STOMPEZZ
",SF_PRIDE,STOMPEZZ,BLEED OUT,
42,SF_METRO,,BLEED OUT,False,"NORTH_YOYO
",SF_METRO,NORTH_YOYO,BLEED OUT,
43,PETTYBOSS,HEMLOCK,,True,"XENIALSTAKEN
",PETTYBOSS,XENIALSTAKEN,,HEMLOK
44,REPS_TSM,WINGMAN,,False,"XENIALSTAKEN
",REPS_TSM,XENIALSTAKEN,,LONGBOW
45,ROGUEDROPPED,PROWLER,,True,"999
",ROGUEDROPPED,TEEN9999,,KRABER
46,UNNINSMILE,R99,,True,"THEESAAR
",UNNINSMILE,THEESAARR,,R-99
47,UNINISMILE,R99,,False,"BRT_THEESAAR
",UNNINSMILE,THEESAARR,,R-99
48,COL_REPTAR,MASTIFF,,True,"PETTYBOSS
",COL_REPTAR,PETTYBOSS,,MASTIFF
49,,,RING,False,"REPS_TSM
",,REPS_TSM,RING,
50,ONLY1MINI,R301,,True,"COL_REPTAR
",ONLY1MINI,COL_REPTAR,,R-301
51,SNIP3DOWN,GSCOUT,,True,"COL_LOU
",SNIP3DOWN_EW,COL_LOU,,G7 SCOUT
52,BRT-BESK9,FLATLINE,,False,"TSM_IMPERIALHAL
",96TEQ96,TSM_IMPERIALHAL,,SENTINEL
53,ROGUEDROPPED,R99,,True,"BRT-FUINHAFPS
",ROGUEDROPPED,FUINHAFPS,,R-99
54,ROGUESWEET,R99,,False,"BRT-BESK9
",ROGUESWEET,BESK9,,R-99
55,LIQUIDNOCTURANL,DEVOTION,,True,"SF_PRIDE
",LIQUIDNOCTURNAL,SF_PRIDE,,SENTINEL
56,TLIQUIDCASPAR,PEACEKEEPER,,False,"SF_PRIDE
",TLIQUIDCASPER,SF_PRIDE,,PEACEKEEPER
57,SNIP3DOWN_EW,R99,,True,"ONLY1MINI
",SNIP3DOWN_EW,ONLY1MINI,,R-99
58,ROGUE_DROPPED,R99,,False,"PETTYBOSS
",ROGUEDROPPED,PETTYBOSS,,R-99
59,SNIP3DOWN_EW,,BLEED OUT,True,"ONLY1MINI
",SNIP3DOWN_EW,ONLY1MINI,BLEED OUT,
60,ROGUE_DROPPED,,BLEED OUT,False,"PETTYBOSS
",ROGUEDROPPED,PETTYBOSS,BLEED OUT,
61,ROGUEDROPPED,PROWLER,,True,"TWITCH_SAUCERROR
",ROGUEDROPPED,SAUCERORR,,KRABER
62,ROGUEDROPPED,PROWLER,,False,"TEEN9999
",ROGUEDROPPED,TEEN9999,,KRABER
63,ROGUDROPPED,,BLEED OUT,False,"TWITCH_SAUCERORR
",ROGUEDROPPED,SAUCERORR,BLEED OUT,
64,TLIQUID,CASPER,,True,"303_PHONYHEAD
",TLIQUIDCASPER,303-PHONYHEAD,,KRABER
65,LIQUIDFLANKER,CHARGE,,False,"303_PHONYHEAD
",LIQUIDFLANKER,303-PHONYHEAD,,CHARGE RIFLE
66,TQLIQUIDCASPER,QINGMAN,,True,"SF_CLARAPHI
",TLIQUIDCASPER,SF_CLARAPHI,,LONGBOW
67,LIQUIDNOCTURNAL,PEACEKEEPER,,False,"ROGUESWEET
",LIQUIDNOCTURNAL,ROGUESWEET,,PEACEKEEPER
68,,,RING,False,"SF_CLARAPHI
",,SF_CLARAPHI,RING,
69,,,BLEED OUT,False,"ROGEDROPPED
",,ROGUEDROPPED,BLEED OUT,
70,,,BLEED OUT,True,"RSNIP3DOWN_EW
",,SNIP3DOWN_EW,BLEED OUT,
71,E-BOY_RONNIE,MASTIFF,,False,"SF_METRO
",E-BOY_RONNIE,SF_METRO,,MASTIFF
72,LIQUIDFLANKER,R99,,True,"SOLO_MSHADE
",LIQUIDFLANKER,SOLO_MSHADE,,R-99
73,SEN_SENOXE,SCOUT,,True,"CASPER
",SENOXE,SAUCERORR,,G7 SCOUT
74,SEN_SENOX,SCOUT,,False,"SOLO_MSHADE
",SENOXE,SOLO_MSHADE,,G7 SCOUT
75,GODSENT_HIARKY,EVA8,,True,"LIQUIDFLANKER
",GODSENT_HIARKY,LIQUIDFLANKER,,EVA-8
76,E_BOYRONNIE,MASTIFF,,False,"LIQUIDNOCTURNAL
",E-BOY_RONNIE,LIQUIDNOCTURNAL,,MASTIFF
77,EN_SENOXE,,BLEED OUT,False,"CASPER
",SENOXE,SAUCERORR,BLEED OUT,
78,GODSENT_HIARKY,,BLEED OUT,False,"LIQUIDFLANKER
",GODSENT_HIARKY,LIQUIDFLANKER,BLEED OUT,
79,,,BLEEDOUT,False,"WHAZGS
",,WHAZGS,BLEED OUT,
80,???,,,False,"NRG_FREXS
",????,NRG_FREXS,,
81,DEZIGNFUL,R99,,True,"NRG_ROCKER
",DEZIGNFUL,NRG_ROCKER,,R-99
82,RESULTAH,PROWLER,,False,"NAFEN_NRG
",RESULTAH,NRG_NAFEN,,KRABER
83,GENTRIFYINQ,,BLEED OUT,False,"NRG_FREXS
",GENTRIFYINQ,NRG_FREXS,BLEED OUT,
84,DEZIGNFUL,,BLEED OUT,False,"NRG_ROCKER
",DEZIGNFUL,NRG_ROCKER,BLEED OUT,
