,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon
0,EBOYRONNIE,PROWLER,,True,"BOWSWERR
",E-BOY_RONNIE,BOWSWERR,,KRABER
1,E-BOY_RONNIE,PROWLER,,True,"CLG_NICEWIGG2
",E-BOY_RONNIE,NICEWIIG,,KRABER
2,SICKKS-FA,EVA8,,True,"SOLO_MSHADE
",SICKKS-FA,SOLO_MSHADE,,EVA-8
3,SICKS-FA,EVA8,,True,"WHAZGS
",SICKKS-FA,WHAZGS,,EVA-8
4,SICKKS-FA,WINGMAN,,False,"E-BOY_RONNIE
",SICKKS-FA,E-BOY_RONNIE,,LONGBOW
5,SICKKS-FA,,BLEED OUT,False,"SOLO_MSHADE
",SICKKS-FA,SOLO_MSHADE,BLEED OUT,
6,SICKKS-FA,,BLEED OUT,False,"WHAZGS
",SICKKS-FA,WHAZGS,BLEED OUT,
7,COL_REPTAR,PROWLER,,True,"TSMIMPERIALHAL
",COL_REPTAR,TSM_IMPERIALHAL,,KRABER
8,COL_REPTAR,PROWLER,,False,"TSMIMPERIALHAL
",COL_REPTAR,TSM_IMPERIALHAL,,KRABER
9,SF_PRIDE,FLATLINE,,True,"COL_LOU
",SF_PRIDE,COL_LOU,,SENTINEL
10,UNNINSMILE,FLATLINE,,False,"COL_LOUU
",UNNINSMILE,COL_LOU,,SENTINEL
11,SF_METRO,BOMBARD,,True,"COL_REPTAR
",SF_METRO,COL_REPTAR,,KRABER
12,UNNINSMILE,FLATLINE,,False,"COL_MONSOON
",UNNINSMILE,COL_MONSOON,,SENTINEL
13,SF_METRO,,BLEED OUT,False,"COL_REPTAR
",SF_METRO,COL_REPTAR,BLEED OUT,
14,ROGUESWEET,GSCOUT,,True,"TSM_IMPERIALHAL
",ROGUESWEET,TSM_IMPERIALHAL,,G7 SCOUT
15,96TEQ96,GSCOUT,,True,"HUGEGORILLA47
",96TEQ96,HUGEGORILLA47,,G7 SCOUT
16,SNIP3DOWN_EW,TGSCOUT,,True,"TSM_IMPERIALHAL
",SNIP3DOWN_EW,TSM_IMPERIALHAL,,G7 SCOUT
17,LIONFYD,R99,,True,"303_PHONYHEAD
",LIONFYD,303-PHONYHEAD,,R-99
