,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon
18,PANDXRZ,R301,,False,"303_PHONYHEAD
",PANDRXRZ,303-PHONYHEAD,,R-301
19,SNIP3DOWN_EW,GSCOUT,,True,"HUGEGORILLA47
",SNIP3DOWN_EW,HUGEGORILLA47,,G7 SCOUT
20,PROTECTFUL,HEMLOK,,True,"LIONFYD
",PROTECTFUL,LIONFYD,,HEMLOK
21,PANDXRZ,MASTIFF,,True,"PROTECTFUL
",PANDRXRZ,PROTECTFUL,,MASTIFF
22,XENIALSTAKEN,DOVATION,,True,"KNOQD
",XENIALSTAKEN,KNOQD,,MASTIFF
23,,,THE RING,False,"ZACHMAZER
",,ZACHMAZER,????,
24,,,BLEED OUT,False,"CLG_NOKOKOPUFFS
",,NOKOKOPUFFS,BLEED OUT,
25,XENIALSTAKEN,,BLEED OUT,False,"KNOQD
",XENIALSTAKEN,KNOQD,BLEED OUT,
26,REPS_TSM,CHARGE,,True,"GODSENT_CUBSKI
",REPS_TSM,GODSENT_CUBSKI,,CHARGE RIFLE
27,???,DOWN,,True,"GODSENT_HIARKY
",????,GODSENT_HIARKY,,LONGBOW
28,TSM_ALBRALELIE,ARC,,False,"GODSENT_HIARKY
",TSM_ALBRALELIE,GODSENT_HIARKY,,ARC START
29,TSM_ALBRALELIE,GSCOUT,,False,"GODSENT_CUBSKI
",TSM_ALBRALELIE,GODSENT_CUBSKI,,G7 SCOUT
30,TEEN999,KRABER,,True,"GENTRIFINQ
",TEEN9999,GENTRIFYINQ,,KRABER
31,ISHINY_MCCARTHY,THERMITE,,True,"LIONFYD
",ISHINY_MCCARTHY,LIONFYD,,THERMITE
32,ISHINY_MCCARTHY,THERMITE,,False,"LIONFYD
",ISHINY_MCCARTHY,LIONFYD,,THERMITE
33,MUFFINS_MCCARTHY,MSTIFF,,True,"96TEQ96
",MUFFSIN_MCCARTHY,96TEQ96,,MASTIFF
34,PANDXRZ,MASTIFF,,True,"MUFFINS_MCCARTHY
",PANDRXRZ,MUFFSIN_MCCARTHY,,MASTIFF
35,PROTECTFUL,ALTERNATOR,,False,"PANDXRZ
",PROTECTFUL,PANDRXRZ,,ARC START
36,MUFFINS_MCCARTHY,,BLEED OUT,False,"96TEQ96
",MUFFSIN_MCCARTHY,96TEQ96,BLEED OUT,
37,TLIQUIDCASPER,HEMLOCK,,True,"DEZIGNFUL
",TLIQUIDCASPER,DEZIGNFUL,,HEMLOK
38,REPST_TSM,CHARGE,,False,"YUBNTV
",REPS_TSM,YUBNTV,,CHARGE RIFLE
39,LIQUIDFLANKER,GSCOUT,,True,"RESULTAH
",LIQUIDFLANKER,RESULTAH,,G7 SCOUT
40,TEEN9999,KRABER,,False,"DEZIGNFUL
",TEEN9999,DEZIGNFUL,,KRABER
41,,,BOMBARD,False,"RESULTAH
",,RESULTAH,BLEED OUT,
42,LIQUIDNOCTURNAL,R301,,False,"GENTRIFYINQ
",LIQUIDNOCTURNAL,GENTRIFYINQ,,R-301
43,TEEN9999,KRABER,,True,"ROGUESWEET
",TEEN9999,ROGUESWEET,,KRABER
44,SEN_PEEESH,,BOMBARD,False,"SF_RPIDE
",SENOXE,SF_PRIDE,BLEED OUT,
45,UNNINSMILE,PROWLER,,True,"CLG_NICEWIGG2
",UNNINSMILE,NICEWIIG,,KRABER
46,SICKKS-FA,EVA8,,True,"PETTYBOSS
",SICKKS-FA,PETTYBOSS,,EVA-8
47,UNNINSMILE,EVA8,,True,"BOWSWERR
",UNNINSMILE,BOWSWERR,,EVA-8
48,ROGUEDROPPED,GSCOUT,,True,"ISHINY_MCCARTHY
",ROGUEDROPPED,ISHINY_MCCARTHY,,G7 SCOUT
49,ONLY1MINI,MASTIFF,,False,"BOWSERR
",ONLY1MINI,BOWSWERR,,MASTIFF
50,UNNINSMILE,,BLEED OUT,False,"CLG_NICEWIGG2
",UNNINSMILE,NICEWIIG,BLEED OUT,
51,SEN_SENOXE,PROWLER,,True,"MSG_NEOKOX
",SENOXE,NEOKOX,,KRABER
52,SEN_CRUST,MASTIFF,,True,"MSG_WOLFX
",GODSENT_CUBSKI,WOLFX,,MASTIFF
53,MSG_EVZY,PROWLER,,True,"SEN_CRUST
",STOMPEZZ,GODSENT_CUBSKI,,KRABER
54,SEN_CRUST,,CAUSTIC GAS,False,"MSG_EVZY
",GODSENT_CUBSKI,SF_PRIDE,DEFENSIVE BOMBARDMENT,
55,SEN_CRUST,,BLEED OUT,False,"MSG_WOLFX
",GODSENT_CUBSKI,WOLFX,BLEED OUT,
56,SEN_SENOXE,,BLEED OUT,False,"MSG_NEOKOX
",SENOXE,NEOKOX,BLEED OUT,
57,SEN_PEEESH,MASTIFF,,True,"SF_CLARAPHI
",SENOXE,SF_CLARAPHI,,MASTIFF
58,SF_PRIDE,FLATLINE,,True,"SEN_PEESH
",SF_PRIDE,PEESH,,SENTINEL
59,,,RING,False,"UNNINSMILE
",,UNNINSMILE,RING,
60,,,RING,False,"PETTYBOSS
",,PETTYBOSS,RING,
61,SF_PRIDE,FLATLINE,,False,"ISHINY_MCCARTHY
",SF_PRIDE,ISHINY_MCCARTHY,,SENTINEL
62,,,BLEED OUT,False,"MUFFINS_MCCARTHY
",,MUFFSIN_MCCARTHY,BLEED OUT,
63,,,BLEED OUT,False,"PROTECTFUL
",,PROTECTFUL,BLEED OUT,
64,ROGUESWEET,KRABER,,False,"SEN_SENOXE
",ROGUESWEET,SENOXE,,KRABER
65,MSG_EVZY,,BLEED OUT,False,"SEN_CRUST
",STOMPEZZ,GODSENT_CUBSKI,BLEED OUT,
66,SF_PRIDE,,BLEED OUT,False,"SEN_PEESH
",SF_PRIDE,PEESH,BLEED OUT,
67,ROGUE_DROPPED,R99,,True,"SF_METRO
",ROGUEDROPPED,SF_METRO,,R-99
68,ROGUE_DROPPED,R99,,True,"SF_PRIDE
",ROGUEDROPPED,SF_PRIDE,,R-99
69,SNIP3DOWN_EW,R99,,True,"SF_CLARAPHI
",SNIP3DOWN_EW,SF_CLARAPHI,,R-99
70,ROGUE_DROPPED,,BLEED OUT,False,"SF_METRO
",ROGUEDROPPED,SF_METRO,BLEED OUT,
71,ROGUE_DROPPED,,BLEED OUT,False,"SF_PRIDE
",ROGUEDROPPED,SF_PRIDE,BLEED OUT,
72,NAFEN_NRG,R99,,True,"TLIQUIDCASPER
",E-BOY_RONNIE,TLIQUIDCASPER,,R-99
73,ONLY1MINI,GSCOUT,,True,"LIQUIDNOCTURNAL
",ONLY1MINI,LIQUIDNOCTURNAL,,G7 SCOUT
74,ROGUESWEET,KRABER,,False,"OLNY1MINI
",ROGUESWEET,ONLY1MINI,,KRABER
75,NAFEN_NRG,R99,,False,"LIQUIDNOCTURNAL
",E-BOY_RONNIE,LIQUIDNOCTURNAL,,R-99
76,TEEN9999,WINGMAN,,True,"STOMPEZZ
",TEEN9999,STOMPEZZ,,LONGBOW
77,ROGUESWEET,R99,,True,"LIQUIDFLANKER
",ROGUESWEET,LIQUIDFLANKER,,R-99
78,REPS_TSM,R99,,True,"TEEN9999
",REPS_TSM,TEEN9999,,R-99
79,NAFEN_NRG,R99,,False,"STOMPEZZ
",E-BOY_RONNIE,STOMPEZZ,,R-99
80,TSM_ALBRALELLIE,GSCOUT,,True,"NORTH_GOBBLE
",TSM_ALBRALELIE,NORTH_GOBBLE,,G7 SCOUT
81,XENAILSTAKEN,DEVOTION,,False,"BRT-FUINHAFPS
",XENIALSTAKEN,FUINHAFPS,,SENTINEL
82,REPS_TSM,CHARGE,,True,"TAKEN
",REPS_TSM,TEEN9999,,CHARGE RIFLE
83,ROGUESWEET,KRABER,,False,"LIQUIDFLANKER
",ROGUESWEET,LIQUIDFLANKER,,KRABER
84,NAFEN_NRG,R99,,False,"TWITCH_SAUCERORR
",E-BOY_RONNIE,SAUCERORR,,R-99
85,REPTS_TSM,,BLEED OUT,False,"XENIALSTAKEN
",REPS_TSM,XENIALSTAKEN,BLEED OUT,
86,REPS_TSM,,BLEED OUT,False,"TEEN9999
",REPS_TSM,TEEN9999,BLEED OUT,
87,,,RING,False,"NORTH_YOYO
",,NORTH_YOYO,RING,
88,TSM_ALBRALELIE,,BLEED OUT,False,"NORTH_GOBBLE
",TSM_ALBRALELIE,NORTH_GOBBLE,BLEED OUT,
89,SNIP3DOWN_EW,R99,,True,"TLIQUIDCASPER
",SNIP3DOWN_EW,TLIQUIDCASPER,,R-99
90,NAFEN_NRG,R99,,True,"BRT-BESK9
",E-BOY_RONNIE,BESK9,,R-99
91,NRG_FREXS,GSCOUT,,False,"BRT-THEESAARR
",NRG_FREXS,THEESAARR,,G7 SCOUT
92,NAFEN_NRG,,BLEED OUT,False,"BRT-BESK9
",E-BOY_RONNIE,BESK9,BLEED OUT,
93,XENAILSTAKEN,,BLEED OUT,False,"BRT-FUINHAFPS
",XENIALSTAKEN,FUINHAFPS,BLEED OUT,
94,REPS_TSM,R999,,True,"NRG_ROCKER
",REPS_TSM,NRG_ROCKER,,R-99
95,ROGUEDROPPED,GSOUT,,True,"REPS_TSM
",ROGUEDROPPED,REPS_TSM,,G7 SCOUT
96,TSM_ALBRALELLIE,PROWLER,,True,"ROGUEDROPPED
",TSM_ALBRALELIE,ROGUEDROPPED,,KRABER
97,NAFEN_NRG,R99,,False,"ROGUEDROPPED
",E-BOY_RONNIE,ROGUEDROPPED,,R-99
98,ROGUESWEET,KRABER,,True,"NRG_ROCKER
",ROGUESWEET,NRG_ROCKER,,KRABER
99,NRG_FREXS,MASTIFF,,True,"ROGUESWEET
",NRG_FREXS,ROGUESWEET,,MASTIFF
100,NRG_FREXS,MASTIFF,,True,"REPS_TSM
",NRG_FREXS,REPS_TSM,,MASTIFF
101,SNIP3DOWN,PROWLER,,True,"TSM_ALBRALELIE
",SNIP3DOWN_EW,TSM_ALBRALELIE,,KRABER
102,????,,,True,SNIP3DOWN,????,SNIP3DOWN_EW,,
