,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon
70,NORTH_GOBBLE,DEVOTION,,True,"SEN_SENOXE
",NORTH_GOBBLE,SENOXE,,SENTINEL
71,NORTH_GOBBLE,DOVEOTION,,False,"SEN_CRUST
",NORTH_GOBBLE,GODSENT_CUBSKI,,SENTINEL
72,NORTH_GOBBLE,,BLEED OUT,False,"SEN_SENOXE
",NORTH_GOBBLE,SENOXE,BLEED OUT,
73,SICKKS-FA,WINGMAN,,True,"TSM_ALBRALELIE
",SICKKS-FA,TSM_ALBRALELIE,,LONGBOW
74,REPTS_TSM,FLATLINE,,True,"TLIQUIDCASPER
",REPS_TSM,TLIQUIDCASPER,,SENTINEL
75,GENTRIFYINQ,MASTIFF,,True,"GODSENT_HIARKY
",GENTRIFYINQ,GODSENT_HIARKY,,MASTIFF
76,NORTH_GOBBLE,DEVOTION,,False,"GODESNT_CUBSKI
",NORTH_GOBBLE,GODSENT_CUBSKI,,SENTINEL
77,GENTRIFYINQ,,BLEED OUT,False,"GODSENT_HIARKY
",GENTRIFYINQ,GODSENT_HIARKY,BLEED OUT,
78,CLG_NICEWIGG,R99,,True,"REPTS_TSM
",NICEWIIG,REPS_TSM,,R-99
79,CLG_NICEWIGG,R99,,False,"REPS_TSM
",NICEWIIG,REPS_TSM,,R-99
80,DEZIGNFUL,GSCOUT,,True,"NOCTURNAL
",DEZIGNFUL,LIQUIDNOCTURNAL,,G7 SCOUT
81,STOMPEZZ,R99,,False,"CASPER
",STOMPEZZ,SAUCERORR,,R-99
82,NORTH_YOYO,R99,,False,"TSM_ALBRALELIE
",NORTH_YOYO,TSM_ALBRALELIE,,R-99
83,DEZIGNFUL,GSCOUT,,True,"STOMPEZZ
",DEZIGNFUL,STOMPEZZ,,G7 SCOUT
84,NORTH_YOYO,MASTIFF,,True,"CLG_NICEWIGG2
",NORTH_YOYO,NICEWIIG,,MASTIFF
85,GENTRIFYINQ,MASTIFF,,True,"BOWSWERR
",GENTRIFYINQ,BOWSWERR,,MASTIFF
86,NORTH_GOBBLE,DEVOTION,,False,"SICKKS-FA
",NORTH_GOBBLE,SICKKS-FA,,SENTINEL
87,GENTRIFYINQ,,BLEED OUT,False,"BOWSWERR
",GENTRIFYINQ,BOWSWERR,BLEED OUT,
88,NORTH_YOYO,,BLEED OUT,False,"CLG_NICEWIGG2
",NORTH_YOYO,NICEWIIG,BLEED OUT,
89,RESULTAH,GCOUT,,True,"NORTH_YOYO
",RESULTAH,NORTH_YOYO,,G7 SCOUT
90,RESULTAH,GSCOUT,,False,"NORTH_GOBBLE
",RESULTAH,NORTH_GOBBLE,,G7 SCOUT
91,RESULTAH,,BLEED OUT,False,"NORTH_YOYO
",RESULTAH,NORTH_YOYO,BLEED OUT,
92,DEZIGNFUL,,BLEED OUT,False,"STOMPEZZ
",DEZIGNFUL,STOMPEZZ,BLEED OUT,
93,GENTRIFYINQ,MASTIFF,,False,"TSM_IMPERIALHAL
",GENTRIFYINQ,TSM_IMPERIALHAL,,MASTIFF
94,?????,,,False,"LIQUIDFLANKER
",????,LIQUIDFLANKER,,
